Indicator,StockID,6M_2023,6M_2024,9M_2023,9M_2024,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024,Y_2023,Y_2024
"I. Vốn chủ sở hữu
410",FPT,"28,592,577,883,064","32,733,693,248,309","28,402,905,629,698","35,361,434,226,425","27,058,429,213,990","31,724,351,031,164","28,592,434,397,177","32,781,490,282,296","28,402,905,629,698","35,361,434,226,425","29,945,604,954,414","35,793,876,418,970","29,930,261,216,233","35,793,876,418,970"
"II. Nguồn kinh phí và quỹ khác
430",FPT,"2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000","2,750,000,000"
"II. Nợ dài hạn
330",CMG,"838,656,479,061","930,460,612,580","910,195,210,296","970,190,998,198","808,272,540,565","936,116,109,362","871,981,649,709","1,028,996,380,288","910,195,210,296","970,190,998,198","847,921,289,959",,"735,194,186,090",
"II. Nợ dài hạn
330",FPT,"642,126,793,723","1,196,511,155,588","656,605,379,125","1,247,766,001,418","636,477,445,725","1,264,421,071,488","638,835,372,784","1,196,511,155,588","656,605,379,125","1,247,766,001,418","709,640,675,212","1,436,299,546,037","698,142,760,439","1,436,299,546,037"
"II. Tài sản cố định
220",CMG,"2,289,446,882,913","2,295,340,106,730","2,254,252,318,584","2,239,547,904,871","2,331,848,083,339","2,292,457,954,696","2,289,434,251,364","2,295,199,987,164","2,254,252,318,584","2,239,547,904,871","2,368,341,682,677",,"2,371,217,407,648",
"II. Tài sản cố định
220",FPT,"12,232,267,027,235","14,177,576,187,762","13,261,738,918,834","14,439,270,982,491","11,983,455,355,040","13,814,237,251,681","12,264,589,224,222","14,370,407,013,750","13,261,738,918,834","14,439,270,982,491","13,643,232,649,898","14,841,618,370,112","13,643,232,649,833","14,841,618,370,112"
"II. Đầu tư tài chính ngắn hạn
120",CMG,"937,060,013,616","1,193,766,429,476","1,043,370,543,491","1,283,864,291,876","832,982,013,616","1,164,096,529,695","937,060,013,616","1,223,773,029,476","1,043,370,543,491","1,283,864,291,876","1,099,061,029,695",,"1,112,061,029,695",
"II. Đầu tư tài chính ngắn hạn
120",FPT,"20,451,941,376,989","19,916,062,543,669","19,618,195,845,890","19,442,595,123,064","13,860,719,245,281","18,230,159,723,426","20,451,941,376,989","19,916,062,543,669","19,618,195,845,890","19,442,595,123,064","16,104,205,358,010","21,785,213,686,808","16,104,205,358,010","21,785,213,686,808"
"III. Các khoản phải thu ngắn hạn
130",CMG,"1,633,810,590,620","1,845,720,232,094","1,682,247,741,024","1,700,553,711,817","1,726,316,579,424","1,607,146,199,975","1,678,623,099,382","1,900,821,760,170","1,682,247,741,024","1,700,553,711,817","1,394,759,135,575",,"1,325,931,498,903",
"III. Các khoản phải thu ngắn hạn
130",FPT,"9,006,495,599,449","10,992,515,047,452","9,819,319,720,327","11,875,150,699,489","9,293,933,666,296","10,054,871,366,217","9,006,465,114,763","10,992,515,047,452","9,819,319,720,327","11,875,150,699,489","9,533,935,053,243","11,379,992,305,795","9,674,343,237,344","11,379,992,305,795"
"IV. Hàng tồn kho
140",CMG,"254,926,046,012","207,186,003,438","236,738,380,088","212,763,605,670","284,974,896,910","189,318,061,594","241,384,413,945","192,502,323,778","236,738,380,088","212,763,605,670","117,239,260,264",,"133,218,522,714",
"IV. Hàng tồn kho
140",FPT,"2,028,260,743,417","1,883,517,781,683","1,757,547,511,785","2,059,110,974,322","2,085,309,446,226","1,856,403,641,469","2,028,260,743,417","1,883,517,781,683","1,757,547,511,785","2,059,110,974,322","1,593,411,075,233","1,835,800,448,666","1,593,411,075,233","1,835,800,448,666"
"IV. Tài sản dở dang dài hạn
240",CMG,"814,590,058,038","911,654,286,402","838,836,694,088","977,613,943,520","781,131,860,964","857,393,901,752","814,619,018,997","906,011,347,618","838,836,694,088","977,613,943,520","792,470,283,415",,"792,225,303,715",
"IV. Tài sản dở dang dài hạn
240",FPT,"1,758,055,535,618","1,475,304,890,550","1,328,956,674,102","1,474,733,361,173","1,240,583,037,748","1,429,362,563,324","1,758,055,535,618","1,475,304,890,550","1,328,956,674,102","1,474,733,361,173","1,315,270,136,003","2,559,818,072,744","1,315,270,136,003","2,559,818,072,744"
"Khấu hao TSCĐ và BĐSĐT
02",CMG,"175,894,173,717","197,175,300,223","264,153,785,774","367,434,607,156","88,078,636,446","97,059,610,203",,,,,,,"370,166,715,601",
"Khấu hao TSCĐ và BĐSĐT
02",FPT,"1,052,343,344,631","1,247,724,052,762","1,609,870,939,648","1,891,991,357,004","510,016,474,629","617,374,340,526",,,,,,,"2,286,514,158,688","2,560,060,901,665"
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện
04",CMG,"-7,046,465,104","-12,139,343,543","-10,367,425,803",,"858,991,537",,,,,,,,"-5,875,628,461",
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện
04",FPT,"-91,872,356,324","-65,374,613,152","34,316,893,675","116,616,869,366","9,089,996,756","-22,556,832,506",,,,,,,"-34,070,358,211","46,311,803,197"
"Lãi, lỗ từ hoạt động đầu tư
05",CMG,"-66,447,713,115","-52,834,411,511","-82,289,644,177","-66,811,335,118","-25,137,149,462","-26,612,169,333",,,,,,,"-124,470,156,080",
"Lãi, lỗ từ hoạt động đầu tư
05",FPT,"-1,028,616,016,997","-757,509,370,736","-1,573,314,650,180","-1,214,211,899,208","-640,246,263,497","-337,553,397,592",,,,,,,"-1,976,268,355,482","-1,719,665,849,787"
"Lưu chuyển tiền thuần trong kỳ
50",CMG,"15,468,783,895","52,147,814,860","238,889,347,601","150,160,947,361","-115,912,878,938","-35,709,943,179",,,,,,,"133,698,620,446",
"Lưu chuyển tiền thuần trong kỳ
50",FPT,"-169,440,045,241","-1,404,154,348,080","722,841,808,938","-267,837,196,580","-3,153,916,012,548","-1,900,291,779,601",,,,,,,"1,800,337,593,999","1,044,195,665,750"
"Lưu chuyển tiền thuần từ hoạt động kinh doanh
20",CMG,"22,939,195,781","128,519,051,485","419,106,337,655","601,529,718,870","25,068,578,493","79,492,773,718",,,,,,,"567,147,811,514",
"Lưu chuyển tiền thuần từ hoạt động kinh doanh
20",FPT,"1,841,075,412,142","3,071,276,193,320","5,545,048,395,251","6,307,220,990,306","-1,426,695,218,855","-657,601,355,178",,,,,,,"9,517,095,698,405","12,689,378,889,529"
"Lưu chuyển tiền thuần từ hoạt động tài chính
40",CMG,"305,097,101,445","276,351,426,264","361,849,109,046","159,392,636,542","248,398,351,983","67,713,926,178",,,,,,,"150,492,497,041",
"Lưu chuyển tiền thuần từ hoạt động tài chính
40",FPT,"6,665,523,322,662","755,717,199,761","3,957,243,746,488","-1,216,601,709,566","-168,106,676,636","1,969,285,169,830",,,,,,,"-1,168,383,938,695","-2,197,766,125,834"
"Lưu chuyển tiền thuần từ hoạt động đầu tư
30",CMG,"-312,567,513,331","-352,722,662,889","-542,066,099,100","-610,761,408,051","-389,379,809,414","-182,916,643,075",,,,,,,"-583,941,688,109",
"Lưu chuyển tiền thuần từ hoạt động đầu tư
30",FPT,"-8,676,038,780,045","-5,231,147,741,161","-8,779,450,332,801","-5,358,456,477,320","-1,559,114,117,057","-3,211,975,594,253",,,,,,,"-6,548,374,165,711","-9,447,417,097,945"
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,CMG,"151,449,184,393","142,100,659,170","281,527,480,654","268,671,963,976","83,917,553,520","83,226,280,864","67,950,523,164","61,050,888,486","130,078,296,261","126,571,304,806","43,478,543,809",,"336,518,503,183",
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,FPT,"3,002,782,112,133","3,673,189,632,065","4,742,122,472,377","5,762,041,844,473","1,493,562,580,890","1,798,030,863,528","1,509,219,531,243","1,873,814,750,772","1,739,340,360,244","2,088,852,212,408","1,728,399,961,335","2,086,993,221,115","6,465,190,432,622","7,849,035,065,588"
Lợi ích của cổ đông thiểu số,CMG,"25,784,339,034","30,730,148,467","48,944,367,568","55,198,315,323","12,799,822,818","14,039,636,018","12,984,516,216","16,690,512,449","23,160,028,534","24,468,166,856","16,953,041,642",,"65,359,945,789",
Lợi ích của cổ đông thiểu số,FPT,"662,599,597,397","774,788,792,361","999,128,593,178","1,164,534,202,453","316,236,873,004","362,234,426,114","346,362,724,393","409,226,238,163","336,528,995,781","389,745,410,092","322,840,809,646","406,509,253,823","1,322,859,306,994","1,571,043,456,276"
"Thuế thu nhập doanh nghiệp đã nộp
14",CMG,"-18,417,124,087","-33,366,699,935","-21,165,728,330","-33,184,052,027","-6,340,983,435","-22,394,109,932",,,,,,,"-45,380,673,992",
"Thuế thu nhập doanh nghiệp đã nộp
14",FPT,"-449,335,224,909","-867,101,644,086","-704,469,137,795","-1,095,291,976,503","-286,845,937,469","-633,330,715,962",,,,,,,"-971,344,830,054","-1,210,831,548,449"
"Tiền chi khác từ hoạt động kinh doanh
16",CMG,"-15,128,620,517","-28,082,253,879","-35,827,239,629",,"-6,294,932,954","-1,424,028,104",,,,,,,"-45,971,236,737",
"Tiền chi khác từ hoạt động kinh doanh
16",FPT,"-273,169,536,005","-383,980,058,851","-282,905,228,250","-394,803,287,851","-221,143,116,021","-369,965,368,266",,,,,,,"-347,735,082,564","-468,344,743,027"
"Tiền lãi vay đã trả
13",CMG,"-55,250,257,240","-35,091,055,923","-74,303,342,322","-62,831,152,749","-24,473,211,982","-18,209,569,564",,,,,,,"-79,907,298,522",
"Tiền lãi vay đã trả
13",FPT,"-350,119,649,917","-284,520,903,589","-511,768,864,187","-482,949,318,298","-189,127,995,202","-160,111,959,538",,,,,,,"-832,038,375,945","-607,154,747,076"
"Tiền thu khác từ hoạt động kinh doanh
15",CMG,,,,"9,618,335,100",,,,,,,,,,
"Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)
70",CMG,"393,430,237,680","566,558,092,767","608,583,417,327","660,740,835,818","253,394,381,756","474,869,945,278",,,,,,,"510,579,888,457",
"Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)
70",FPT,"6,236,475,101,406","6,836,262,549,195","7,153,625,069,795","7,935,632,407,357","3,289,424,451,229","6,341,457,504,996",,,,,,,"8,279,156,683,221","9,315,440,438,884"
"Tiền và tương đương tiền đầu kỳ
60",CMG,"371,043,702,907","510,579,888,457","371,043,702,907","510,579,888,457","371,043,702,907","510,579,888,457",,,,,,,"371,043,702,907",
"Tiền và tương đương tiền đầu kỳ
60",FPT,"6,440,177,174,322","8,279,156,683,221","6,440,177,174,322","8,279,156,683,221","6,440,177,174,322","8,279,156,683,221",,,,,,,"6,440,177,174,322","8,279,156,683,221"
"Trong đó :Chi phí lãi vay
23",CMG,"49,438,123,235","38,536,479,475","74,235,389,762","62,831,152,749","20,487,444,338","18,209,569,564","22,802,533,994","20,326,909,911","24,797,266,527","24,294,673,274","16,072,795,006",,"83,069,123,005",
"Trong đó :Chi phí lãi vay
23",FPT,"360,349,673,634","287,959,142,187","626,004,538,029","416,785,092,788","147,985,668,274","137,833,720,086","212,364,005,360","150,125,422,101","265,654,864,395","128,825,950,601","206,644,073,232","134,854,268,998","832,648,611,261","551,639,361,786"
"Tăng, giảm chi phí trả trước
12",CMG,"7,773,663,454","-32,471,437,164","-19,315,266,833","-41,751,146,485","-34,634,221,826","-90,177,347,367",,,,,,,"-4,121,644,263",
"Tăng, giảm chi phí trả trước
12",FPT,"-106,843,435,226","-47,546,942,977","-153,424,139,235","-214,047,606,305","-117,502,927,576","-67,254,616,445",,,,,,,"65,247,409,505","-417,826,947,808"
"Tăng, giảm các khoản phải thu
09",CMG,"-66,405,461,447","-509,364,645,366","-107,847,145,590","-419,108,315,836","-170,996,579,650","-287,729,313,573",,,,,,,"182,293,050,493",
"Tăng, giảm các khoản phải thu
09",FPT,"-31,640,214,759","-1,094,264,423,554","-957,911,340,315","-2,335,876,684,409","-149,759,558,922","-167,453,550,762",,,,,,,"-1,163,209,212,196","-1,891,783,017,042"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)
11",CMG,"-215,689,053,768","471,401,117,892","8,113,289,232","486,297,963,461","70,820,250,406","353,818,340,558",,,,,,,"-347,784,917,421",
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)
11",FPT,"-1,675,331,667,436","33,942,453,445","296,634,563,477","1,696,907,357,137","-2,621,858,951,796","-1,997,629,152,574",,,,,,,"1,380,255,770,889","3,929,994,615,791"
"Tăng, giảm hàng tồn kho
10",CMG,"32,347,013,342","-73,967,480,724","49,227,509,939","-79,355,082,956","3,133,853,835","-56,099,538,880",,,,,,,"114,671,907,889",
"Tăng, giảm hàng tồn kho
10",FPT,"-57,706,807,332","-295,910,884,913","224,677,286,511","-469,004,030,123","-115,149,297,662","-271,641,024,449",,,,,,,"396,161,114,891","-244,311,061,478"
"TỔNG CỘNG NGUỒN VỐN
440",CMG,"6,900,068,811,699","7,649,066,233,005","7,279,034,429,500","7,719,734,866,866","6,973,847,111,186","7,303,536,205,785","6,947,862,983,945","7,696,552,330,272","7,279,034,429,500","7,719,734,866,866","6,922,259,801,795",,"6,853,772,829,898",
"TỔNG CỘNG NGUỒN VỐN
440",FPT,"60,524,394,513,231","65,286,245,628,524","62,112,676,348,644","67,581,587,131,382","50,741,161,416,448","62,024,705,048,429","60,556,686,225,532","65,321,967,724,908","62,112,676,348,644","67,581,587,131,382","60,325,276,051,932","72,013,238,235,529","60,282,827,532,899","72,013,238,235,529"
"TỔNG CỘNG TÀI SẢN
280",CMG,"6,900,068,811,699","7,649,066,233,005","7,279,034,429,500","7,719,734,866,866","6,973,847,111,186","7,303,536,205,785","6,947,862,983,945","7,696,552,330,272","7,279,034,429,500","7,719,734,866,866","6,922,259,801,795",,"6,853,772,829,898",
"TỔNG CỘNG TÀI SẢN
280",FPT,"60,524,394,513,231","65,286,245,628,524","62,112,676,348,644","67,581,587,131,382","50,741,161,416,448","62,024,705,048,429","60,556,686,225,532","65,321,967,724,908","62,112,676,348,644","67,581,587,131,382","60,325,276,051,932","72,013,238,235,529","60,282,827,532,899","72,013,238,235,529"
"V. Tài sản ngắn hạn khác
150",CMG,"96,964,381,998","96,453,673,598","106,942,899,359","106,515,699,538","137,086,803,608","152,234,615,768","115,761,615,248","109,339,175,280","106,942,899,359","106,515,699,538","110,429,680,869",,"91,203,203,016",
"V. Tài sản ngắn hạn khác
150",FPT,"1,035,254,520,683","1,206,873,221,697","1,183,255,126,184","1,292,616,500,084","995,105,902,574","1,196,256,798,381","1,035,254,520,683","1,194,798,284,094","1,183,255,126,184","1,292,616,500,084","1,198,835,180,678","1,159,049,076,313","1,054,635,398,068","1,159,049,076,313"
"V. Đầu tư tài chính dài hạn
250",CMG,"79,278,815,985","83,513,934,986","86,015,008,690","84,126,505,839","219,940,918,070","73,377,060,121","81,609,896,206","83,513,934,986","86,015,008,690","84,126,505,839","95,204,296,379",,"95,291,473,330",
"V. Đầu tư tài chính dài hạn
250",FPT,"3,045,169,826,409","3,095,902,850,581","3,223,296,628,954","3,214,141,461,080","3,257,209,895,051","3,415,559,155,234","3,045,169,826,409","3,095,902,850,581","3,223,296,628,954","3,214,141,461,080","3,367,402,312,269","3,319,014,817,651","3,335,009,108,332","3,319,014,817,651"
"VI. Tài sản dài hạn khác
260",CMG,"369,422,524,359","416,411,284,601","386,830,452,415","422,677,746,724","372,896,263,050","460,529,530,005","364,961,956,402","416,436,745,932","386,830,452,415","422,677,746,724","385,154,433,015",,"387,572,521,163",
"VI. Tài sản dài hạn khác
260",FPT,"4,501,685,335,332","5,386,582,674,862","4,529,333,425,055","5,501,511,121,171","4,512,159,868,725","5,366,724,357,153","4,501,685,335,332","5,241,548,882,861","4,529,333,425,055","5,501,511,121,171","5,042,420,397,778","5,485,644,852,548","5,036,171,784,305","5,485,644,852,548"
"Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ
61",CMG,"6,917,750,878","3,830,389,450","-1,349,633,181",,"-1,736,442,213",,,,,,,,"5,837,565,104",
"Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ
61",FPT,"-34,262,027,675","-38,739,785,946","-9,393,913,465","-75,687,079,284","3,163,289,455","-37,407,398,624",,,,,,,"38,641,914,900","-7,911,910,087"
